ta2Id,name,chapter,class,kind,match,meshCount,meshes
1708,"THORACIC JOINTS",3,heading,,n/a,0,""
1709,"FIBROUS JOINTS OF THORAX",3,heading,,n/a,0,""
1710,"External intercostal membrane",3,structure,other,exact,2,"male:left-external-intercostal-membrane male:right-external-intercostal-membrane"
1711,"Internal intercostal membrane",3,structure,other,exact,2,"male:left-internal-intercostal-membrane male:right-internal-intercostal-membrane"
1712,"CARTILAGINOUS JOINTS OF THORAX",3,heading,,n/a,0,""
1713,"Sternochondral synchondrosis of first rib",3,structure,bone / cartilage / joint,none,0,""
1714,"Costochondral joints",3,structure,other,none,0,""
1715,"Cartilaginous joints of sternum",3,structure,bone / cartilage / joint,none,0,""
1716,"Xiphisternal joint",3,structure,bone / cartilage / joint,none,0,""
1717,"Manubriosternal joint",3,structure,bone / cartilage / joint,none,0,""
1718,"(Manubriosternal synchondrosis)",3,structure,other,none,0,""
1719,"SYNOVIAL JOINTS OF THORAX",3,heading,,n/a,0,""
1720,"Costovertebral joints",3,structure,other,none,0,""
1721,"Joint of head of rib",3,feature,,n/a,0,""
1722,"Radiate ligament of head of rib",3,feature,,n/a,0,""
1723,"Intraarticular ligament of head of rib",3,feature,,n/a,0,""
1724,"Costotransverse joint",3,structure,bone / cartilage / joint,none,0,""
1725,"Costotransverse ligament",3,structure,ligament / capsule,exact,2,"male:left-costotransverse-ligament male:right-costotransverse-ligament"
1726,"Superior costotransverse ligament",3,structure,ligament / capsule,none,0,""
1727,"Lateral costotransverse ligament",3,structure,ligament / capsule,none,0,""
1728,"Lumbocostal ligament",3,structure,ligament / capsule,none,0,""
1729,"Costotransverse foramen",3,feature,,n/a,0,""
1730,"Sternochondral joints",3,structure,other,none,0,""
1731,"Intraarticular sternochondral ligament",3,structure,ligament / capsule,none,0,""
1732,"Radiate sternochondral ligaments",3,structure,ligament / capsule,none,0,""
1733,"Sternal membrane",3,structure,other,none,0,""
1734,"Xiphichondral ligaments",3,structure,ligament / capsule,none,0,""
1735,"Interchondral joints",3,structure,other,none,0,""
1736,"Interchondral ligaments",3,structure,ligament / capsule,none,0,""
1737,"JOINTS OF UPPER LIMB",3,heading,,n/a,0,""
1738,"Joints of pectoral girdle",3,structure,other,none,0,""
1739,"FIBROUS JOINTS OF PECTORAL GIRDLE",3,heading,,n/a,0,""
1740,"Coracoacromial ligament",3,structure,ligament / capsule,exact,2,"male:left-coraco-acromial-ligament male:right-coraco-acromial-ligament"
1741,"Superior transverse scapular ligament",3,structure,ligament / capsule,exact,2,"male:left-superior-transverse-scapular-ligament male:right-superior-transverse-scapular-ligament"
1742,"(Inferior transverse scapular ligament)",3,structure,ligament / capsule,exact,2,"male:left-inferior-transverse-scapular-ligament male:right-inferior-transverse-scapular-ligament"
1743,"SYNOVIAL JOINTS OF PECTORAL GIRDLE",3,heading,,n/a,0,""
1744,"Acromioclavicular joint",3,structure,bone / cartilage / joint,partial,4,"male:left-articular-capsule-of-acromioclavicular-joint male:right-articular-capsule-of-acromioclavicular-joint male:left-articular-disc-of-acromioclavicular-joint male:right-articular-disc-of-acromioclavicular-joint"
1745,"Acromioclavicular ligament",3,structure,ligament / capsule,exact,2,"male:left-acromioclavicular-ligament male:right-acromioclavicular-ligament"
1746,"Articular disc of acromioclavicular joint",3,structure,bone / cartilage / joint,exact,2,"male:left-articular-disc-of-acromioclavicular-joint male:right-articular-disc-of-acromioclavicular-joint"
1747,"Coracoclavicular ligament",3,structure,ligament / capsule,none,0,""
1748,"Trapezoid ligament",3,structure,ligament / capsule,exact,2,"male:left-trapezoid-ligament male:right-trapezoid-ligament"
1749,"Conoid ligament",3,structure,ligament / capsule,exact,2,"male:left-conoid-ligament male:right-conoid-ligament"
1750,"Sternoclavicular joint",3,structure,bone / cartilage / joint,partial,4,"male:left-articular-capsule-of-sternoclavicular-joint male:right-articular-capsule-of-sternoclavicular-joint male:left-articular-disc-of-sternoclavicular-joint male:right-articular-disc-of-sternoclavicular-joint"
1751,"Articular disc of sternoclavicular joint",3,structure,bone / cartilage / joint,exact,2,"male:left-articular-disc-of-sternoclavicular-joint male:right-articular-disc-of-sternoclavicular-joint"
1752,"Medial cavity of the sternoclavicular joint",3,space,,n/a,0,""
1753,"Lateral cavity of the sternoclavicular joint",3,space,,n/a,0,""
1754,"Anterior sternoclavicular ligament",3,structure,ligament / capsule,exact,2,"male:left-anterior-sternoclavicular-ligament male:right-anterior-sternoclavicular-ligament"
1755,"Posterior sternoclavicular ligament",3,structure,ligament / capsule,exact,2,"male:left-posterior-sternoclavicular-ligament male:right-posterior-sternoclavicular-ligament"
1756,"Costoclavicular ligament",3,structure,ligament / capsule,exact,2,"male:left-costoclavicular-ligament male:right-costoclavicular-ligament"
1757,"Interclavicular ligament",3,structure,ligament / capsule,exact,2,"male:left-interclavicular-ligament male:right-interclavicular-ligament"
1758,"Joints of free upper limb",3,structure,other,none,0,""
1759,"FIBROUS JOINTS OF FREE UPPER LIMB",3,heading,,n/a,0,""
1760,"Radioulnar syndesmoses",3,structure,other,none,0,""
1761,"Interosseous membrane of forearm",3,structure,other,exact,2,"male:interosseous-membrane-of-right-forearm male:interosseous-membrane-of-left-forearm"
1762,"Oblique cord",3,structure,other,exact,2,"male:left-oblique-cord male:right-oblique-cord"
1763,"SYNOVIAL JOINTS OF FREE UPPER LIMB",3,heading,,n/a,0,""
1764,"Glenohumeral joint",3,structure,bone / cartilage / joint,partial,2,"male:left-articular-capsule-of-glenohumeral-joint male:right-articular-capsule-of-glenohumeral-joint"
1765,"Glenoid labrum",3,structure,ligament / capsule,exact,2,"male:left-glenoid-labrum male:right-glenoid-labrum"
1766,"Glenohumeral ligaments",3,structure,ligament / capsule,partial,6,"male:left-inferior-glenohumeral-ligament male:right-inferior-glenohumeral-ligament male:left-middle-glenohumeral-ligament male:right-middle-glenohumeral-ligament"
1767,"Superior glenohumeral ligament",3,structure,ligament / capsule,exact,2,"male:left-superior-glenohumeral-ligament male:right-superior-glenohumeral-ligament"
1768,"Middle glenohumeral ligament",3,structure,ligament / capsule,exact,2,"male:left-middle-glenohumeral-ligament male:right-middle-glenohumeral-ligament"
1769,"Inferior glenohumeral ligament",3,structure,ligament / capsule,exact,2,"male:left-inferior-glenohumeral-ligament male:right-inferior-glenohumeral-ligament"
1770,"Coracohumeral ligament",3,structure,ligament / capsule,exact,2,"male:left-coracohumeral-ligament male:right-coracohumeral-ligament"
1771,"Transverse humeral ligament",3,structure,ligament / capsule,exact,2,"male:left-transverse-humeral-ligament male:right-transverse-humeral-ligament"
1772,"Elbow joint",3,structure,bone / cartilage / joint,partial,2,"male:left-articular-capsule-of-elbow-joint male:right-articular-capsule-of-elbow-joint"
1773,"Humeroulnar joint",3,structure,bone / cartilage / joint,none,0,""
1774,"Humeroradial joint",3,structure,bone / cartilage / joint,none,0,""
1775,"Proximal radioulnar joint",3,structure,bone / cartilage / joint,none,0,""
1776,"Ulnar collateral ligament",3,structure,ligament / capsule,exact,2,"male:left-ulnar-collateral-ligament male:right-ulnar-collateral-ligament"
1777,"Radial collateral ligament",3,structure,ligament / capsule,exact,2,"male:left-radial-collateral-ligament male:right-radial-collateral-ligament"
1778,"Annular ligament of radius",3,structure,ligament / capsule,exact,2,"male:left-annular-ligament-of-radius male:right-annular-ligament-of-radius"
1779,"Quadrate ligament",3,structure,ligament / capsule,exact,2,"male:left-quadrate-ligament male:right-quadrate-ligament"
1780,"Sacciform recess of elbow joint",3,space,,n/a,0,""
1781,"Distal radioulnar joint",3,structure,bone / cartilage / joint,partial,2,"male:left-articular-disc-of-distal-radio-ulnar-joint male:right-articular-disc-of-distal-radio-ulnar-joint"
1782,"Articular disc of distal radioulnar joint",3,structure,bone / cartilage / joint,exact,2,"male:left-articular-disc-of-distal-radio-ulnar-joint male:right-articular-disc-of-distal-radio-ulnar-joint"
1783,"Sacciform recess of distal radioulnar joint",3,space,,n/a,0,""
1784,"Dorsal radioulnar ligament",3,structure,ligament / capsule,exact,2,"male:left-dorsal-radio-ulnar-ligament male:right-dorsal-radio-ulnar-ligament"
1785,"Palmar radioulnar ligament",3,structure,ligament / capsule,exact,2,"male:left-palmar-radio-ulnar-ligament male:right-palmar-radio-ulnar-ligament"
1786,"Radiocarpal joint",3,structure,bone / cartilage / joint,partial,2,"male:left-articular-capsule-of-radiocarpal-joint male:right-articular-capsule-of-radiocarpal-joint"
1787,"Dorsal radiocarpal ligament",3,structure,ligament / capsule,exact,2,"male:left-dorsal-radiocarpal-ligament male:right-dorsal-radiocarpal-ligament"
1788,"Palmar radiocarpal ligament",3,structure,ligament / capsule,none,0,""
1789,"Radioscaphocapitate ligament",3,structure,ligament / capsule,exact,2,"male:left-radioscaphocapitate-ligament male:right-radioscaphocapitate-ligament"
1790,"(Radiocapitate ligament)",3,structure,ligament / capsule,exact,2,"male:left-radiocapitate-ligament male:right-radiocapitate-ligament"
1791,"Long radiolunate ligament",3,structure,ligament / capsule,none,0,""
1792,"Short radiolunate ligament",3,structure,ligament / capsule,none,0,""
1793,"Radioscapholunate ligament",3,structure,ligament / capsule,none,0,""
1794,"Dorsal ulnocarpal ligament",3,structure,ligament / capsule,exact,2,"male:left-dorsal-ulnocarpal-ligament male:right-dorsal-ulnocarpal-ligament"
1795,"Palmar ulnocarpal ligament",3,structure,ligament / capsule,none,0,""
1796,"Ulnocapitate ligament",3,structure,ligament / capsule,exact,2,"male:left-ulnocapitate-ligament male:right-ulnocapitate-ligament"
1797,"Ulnolunate ligament",3,structure,ligament / capsule,exact,2,"male:left-ulnolunate-ligament male:right-ulnolunate-ligament"
1798,"Ulnotriquetral ligament",3,structure,ligament / capsule,exact,2,"male:left-ulnotriquetral-ligament male:right-ulnotriquetral-ligament"
1799,"Ulnopisiform ligament",3,structure,ligament / capsule,exact,2,"male:ulnopisiform-ligament male:left-ulnopisiform-ligament"
1800,"Ulnar collateral ligament of wrist joint",3,structure,ligament / capsule,exact,2,"male:left-ulnar-collateral-ligament-of-wrist-joint male:right-ulnar-collateral-ligament-of-wrist-joint"
1801,"Radial collateral ligament of wrist joint",3,structure,ligament / capsule,exact,2,"male:left-radial-collateral-ligament-of-wrist-joint male:right-radial-collateral-ligament-of-wrist-joint"
1802,"Joints of hand",3,structure,other,none,0,""
1803,"Intercarpal joints",3,structure,other,none,0,""
1804,"Midcarpal joint",3,structure,bone / cartilage / joint,none,0,""
1805,"Radiate carpal ligament",3,structure,ligament / capsule,exact,2,"male:left-radiate-carpal-ligament male:right-radiate-carpal-ligament"
1806,"Dorsal intercarpal ligaments",3,structure,ligament / capsule,exact,2,"male:left-dorsal-intercarpal-ligaments male:right-dorsal-intercarpal-ligaments"
1807,"Dorsal scaphotriquetral ligament",3,structure,ligament / capsule,exact,2,"male:left-dorsal-scaphotriquetral-ligament male:right-dorsal-scaphotriquetral-ligament"
1808,"Palmar intercarpal ligaments",3,structure,ligament / capsule,none,0,""
1809,"Scaphotrapeziotrapezoidal ligament",3,structure,ligament / capsule,exact,2,"male:left-scaphotrapeziotrapezoidal-ligament male:right-scaphotrapeziotrapezoidal-ligament"
1810,"Scaphocapitate ligament",3,structure,ligament / capsule,exact,2,"male:left-scaphocapitate-ligament male:right-scaphocapitate-ligament"
1811,"Palmar scaphotriquetral ligament",3,structure,ligament / capsule,exact,2,"male:left-palmar-scaphotriquetral-ligament male:right-palmar-scaphotriquetral-ligament"
1812,"Triquetrocapitate ligament",3,structure,ligament / capsule,exact,2,"male:left-triquetrocapitate-ligament male:right-triquetrocapitate-ligament"
1813,"Triquetrohamate ligament",3,structure,ligament / capsule,exact,2,"male:left-triquetrohamate-ligament male:right-triquetrohamate-ligament"
1814,"Pisotriquetral ligament",3,structure,ligament / capsule,exact,2,"male:left-pisotriquetral-ligament male:right-pisotriquetral-ligament"
1815,"Palmar capitohamate ligament",3,structure,ligament / capsule,exact,2,"male:left-palmar-capitohamate-ligament male:right-palmar-capitohamate-ligament"
1816,"Palmar trapezoideocapitate ligament",3,structure,ligament / capsule,exact,2,"male:left-palmar-trapezoideocapitate-ligament male:right-palmar-trapezoideocapitate-ligament"
1817,"Palmar lunotriquetral ligament",3,structure,ligament / capsule,exact,2,"male:left-palmar-lunotriquetral-ligament male:right-palmar-lunotriquetral-ligament"
1818,"Interosseous intercarpal ligaments",3,structure,ligament / capsule,none,0,""
1819,"Scapholunate interosseous ligament",3,structure,ligament / capsule,exact,2,"male:left-scapholunate-interosseous-ligament male:right-scapholunate-interosseous-ligament"
1820,"Trapeziotrapezoidal interosseous ligament",3,structure,ligament / capsule,exact,2,"male:left-trapeziotrapezoidal-interosseous-ligament male:right-trapeziotrapezoidal-interosseous-ligament"
1821,"Capitohamate interosseous ligament",3,structure,ligament / capsule,exact,2,"male:left-capitohamate-interosseous-ligament male:right-capitohamate-interosseous-ligament"
1822,"Trapezoideocapitate interosseous ligament",3,structure,ligament / capsule,exact,2,"male:left-trapezoideocapitate-interosseous-ligament male:right-trapezoideocapitate-interosseous-ligament"
1823,"Lunotriquetral interosseous ligament",3,structure,ligament / capsule,exact,2,"male:left-lunotriquetral-interosseous-ligament male:right-lunotriquetral-interosseous-ligament"
1824,"Pisiform joint",3,structure,bone / cartilage / joint,none,0,""
1825,"Pisohamate ligament",3,structure,ligament / capsule,exact,2,"male:left-pisohamate-ligament male:right-pisohamate-ligament"
1826,"Pisometacarpal ligament",3,structure,ligament / capsule,exact,2,"male:left-pisometacarpal-ligament male:right-pisometacarpal-ligament"
1827,"Carpometacarpal joints",3,structure,other,none,0,""
1828,"Dorsal carpometacarpal ligaments",3,structure,ligament / capsule,exact,2,"male:left-dorsal-carpometacarpal-ligaments male:right-dorsal-carpometacarpal-ligaments"
1829,"Palmar carpometacarpal ligaments",3,structure,ligament / capsule,exact,2,"male:left-palmar-carpometacarpal-ligaments male:right-palmar-carpometacarpal-ligaments"
1830,"Carpometacarpal joint of thumb",3,structure,bone / cartilage / joint,none,0,""
1831,"Intermetacarpal joints",3,structure,other,none,0,""
1832,"Dorsal metacarpal ligaments",3,structure,ligament / capsule,exact,2,"male:left-dorsal-metacarpal-ligaments male:right-dorsal-metacarpal-ligaments"
1833,"Palmar metacarpal ligaments",3,structure,ligament / capsule,exact,2,"male:left-palmar-metacarpal-ligaments male:right-palmar-metacarpal-ligaments"
1834,"Interosseous metacarpal ligaments",3,structure,ligament / capsule,exact,2,"male:left-interosseous-metacarpal-ligaments male:right-interosseous-metacarpal-ligaments"
1835,"Metacarpophalangeal joints",3,structure,other,partial,2,"male:left-articular-capsules-of-metacarpophalangeal-joints male:right-articular-capsules-of-metacarpophalangeal-joints"
1836,"Collateral metacarpophalangeal ligaments",3,structure,ligament / capsule,exact,2,"male:left-collateral-metacarpophalangeal-ligaments male:right-collateral-metacarpophalangeal-ligaments"
1837,"Palmar metacarpophalangeal ligaments",3,structure,ligament / capsule,none,0,""
1838,"Deep transverse metacarpal ligament",3,structure,ligament / capsule,exact,2,"male:left-deep-transverse-metacarpal-ligament male:right-deep-transverse-metacarpal-ligament"
1839,"Interphalangeal joints of hand",3,structure,other,none,0,""
1840,"Proximal interphalangeal joints of hand",3,structure,other,none,0,""
1841,"Distal interphalangeal joints of hand",3,structure,other,none,0,""
1842,"Interphalangeal joint of thumb",3,structure,bone / cartilage / joint,none,0,""
1843,"Collateral interphalangeal ligaments of hand",3,structure,ligament / capsule,exact,2,"male:left-collateral-interphalangeal-ligaments-of-hand male:right-collateral-interphalangeal-ligaments-of-hand"
1844,"Palmar interphalangeal ligaments",3,structure,ligament / capsule,exact,2,"male:left-palmar-interphalangeal-ligaments male:right-palmar-interphalangeal-ligaments"
1845,"JOINTS OF LOWER LIMB",3,heading,,n/a,0,""
1846,"Joints of pelvic girdle",3,structure,other,none,0,""
1847,"FIBROUS JOINTS OF PELVIC GIRDLE",3,heading,,n/a,0,""
1848,"Obturator membrane",3,structure,other,exact,2,"male:left-obturator-membrane male:right-obturator-membrane"
1849,"Obturator canal",3,feature,,n/a,0,""
